kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Punavuori,"2h, k, s, lasit...",kt,"63,00",462000,7333,1971,2/5,on,hyvä,oma,E2018,Kaksiot,00150
Punavuori,"2h, k, halli, k...",kt,"74,00",558000,7541,1939,2/7,on,hyvä,oma,F2018,Kaksiot,00150
Punavuori,2h+kk,kt,"36,00",278000,7722,1897,5/5,ei,hyvä,oma,D2018,Kaksiot,00150
Punavuori,2 h+keittosyv.+...,kt,"46,00",338000,7348,1931,1/5,on,hyvä,oma,F2013,Kaksiot,00150
Punavuori,"2h, k, kph, et",kt,"56,30",438000,7780,1906,2/3,ei,hyvä,oma,F2013,Kaksiot,00150
Eira,"1-2h, avok, kph...",kt,"47,00",425000,9043,1930,3/3,on,hyvä,oma,F2018,Kaksiot,00150
Ullanlinna,1h+iso avokeitt...,kt,"60,00",275000,4583,1937,1/5,on,huono,oma,D2007,Kaksiot,00150
Punavuori,"2h, avok, kph, ...",kt,"55,00",386000,7018,1928,1/5,on,hyvä,oma,G2013,Kaksiot,00150
Punavuori,"2h, k, rt, kph, et",kt,"46,00",347000,7543,1938,3/5,on,hyvä,oma,F2013,Kaksiot,00150
Punavuori,"1h, ikkunalline...",kt,"43,50",341000,7839,1910,4/4,ei,hyvä,oma,E2007,Kaksiot,00150
Punavuori,2h+avokeitti...,kt,"42,00",285000,6786,1938,3/4,on,hyvä,oma,F2013,Kaksiot,00150
Punavuori,2h+kk+kph+parve...,kt,"42,50",275000,6471,1956,3/6,on,tyyd.,oma,F2013,Kaksiot,00150
Punavuori,2h+k+kph (yj:n ...,kt,"47,50",400000,8421,1897,2/5,ei,hyvä,oma,D2018,Kaksiot,00150
Punavuori,"2h, avok, kph",kt,"39,50",305000,7722,1938,4/4,on,hyvä,oma,F2013,Kaksiot,00150
Punavuori,2h+avok+alk (YJ...,kt,"42,00",330000,7857,1939,2/5,on,hyvä,oma,F2018,Kaksiot,00150
Punavuori,"2h, kk, kph, pa...",kt,"37,00",280000,7568,1957,3/4,ei,hyvä,oma,E2018,Kaksiot,00150
Punavuori,"2h,k,kph,parveke",kt,"54,00",450000,8333,1960,4/7,on,hyvä,oma,D2018,Kaksiot,00150
Punavuori,"3h, avok, kph, ...",kt,"112,00",929000,8295,2012,3/6,on,hyvä,oma,D2007,Kolmiot,00150
Ullanlinna,"2-3h, k, kph",kt,"49,00",370000,7551,1928,3/4,ei,hyvä,oma,E2007,Kolmiot,00150
Ullanlinna,"3h, k",kt,"49,00",347000,7082,1928,3/4,ei,tyyd.,oma,E2007,Kolmiot,00150
Punavuori,"3h, k, kph, wc,...",kt,"69,50",540000,7770,1974,4/6,on,hyvä,oma,D2018,Kolmiot,00150
Eira,"3h, k, kph, wc",kt,"82,00",625000,7622,1900,1/3,ei,tyyd.,oma,F2013,Kolmiot,00150
Punavuori,"3h, k, kph, wc,...",kt,"62,50",485000,7760,1957,4/4,ei,hyvä,oma,E2018,Kolmiot,00150
Punavuori,"2-3h, k/rt, vh,...",kt,"79,90",580000,7259,1906,2/4,ei,tyyd.,oma,F2013,Kolmiot,00150
Eira,"3h, k, kph, vh,...",kt,"82,00",1000000,12195,1912,,ei,hyvä,oma,D2007,Kolmiot,00150
Punavuori,3h+k+kph+wc,kt,"72,90",520000,7133,1914,3/4,ei,hyvä,oma,F2013,Kolmiot,00150
Ullanlinna,2-3h+avok+kph+et,kt,"61,00",550000,9016,1935,3/5,on,hyvä,oma,C2018,Kolmiot,00150
Eiranranta,"3h, avok, kph, ...",kt,"117,00",1085000,9274,2008,4/8,on,hyvä,oma,F2013,Kolmiot,00150
Punavuori,"3h, avok, vh, k...",kt,"66,00",485000,7348,1961,4/7,on,hyvä,oma,E2007,Kolmiot,00150
Eira,"3h,k,wc",kt,"93,00",558648,6007,1900,2/4,ei,huono,oma,F2013,Kolmiot,00150
Punavuori,"3h, avokeitti&#...",kt,"71,00",410000,5775,1927,3/5,on,tyyd.,oma,F2013,Kolmiot,00150
